anio,mes,cliente,producto,categoria,marca,cantidad_vendida,valor_venta,region,canal
2020,11,PLAZA VEA,Ariel Detergente,Alimentos,Alicorp,234,2923.81,Arequipa,Supermercado
2024,3,MAKRO,Casino Galleta,Limpieza,San Jorge,405,777.6,Iquitos,Tienda Independiente
2024,4,WONG,San Jorge Arroz,Limpieza,Gloria,277,2608.24,Lima,Supermercado
2024,1,MAYORISTA10,Galletas Field,Limpieza,Gloria,89,4018.88,Trujillo,Tienda Independiente
2022,9,PLAZA VEA,Donofrio Helado,Limpieza,Backus,826,3141.12,Arequipa,Minorista
2022,12,MAYORISTA10,Donofrio Helado,Limpieza,Procter & Gamble,678,3726.78,Arequipa,Mayorista
2025,9,MAKRO,Gloria Leche,Bebidas,San Jorge,856,396.99,Lima,Tienda Independiente
2023,2,METRO,Galletas Field,Higiene,San Jorge,537,4777.01,Huancayo,Tienda Independiente
2023,9,MAKRO,Ariel Detergente,Bebidas,Procter & Gamble,287,4943.47,Huancayo,Minorista
2023,6,METRO,Gloria Leche,Higiene,Procter & Gamble,525,2500.51,Cusco,Supermercado
2022,1,TOTTUS,Gloria Leche,Bebidas,Backus,271,4445.1,Trujillo,Minorista
2022,8,MAYORISTA10,Casino Galleta,Limpieza,Backus,397,1710.17,Arequipa,Supermercado
2022,1,MAYORISTA10,Ariel Detergente,Alimentos,Alicorp,791,3994.71,Cusco,Minorista
2024,9,MAYORISTA10,Gloria Leche,Bebidas,Alicorp,248,554.04,Iquitos,Minorista
2021,3,MAYORISTA10,Dento,Bebidas,Nestlé,329,2687.94,Trujillo,Tienda Independiente
2024,8,MAKRO,Donofrio Helado,Bebidas,Alicorp,836,3362.41,Arequipa,Mayorista
2019,5,WONG,Donofrio Helado,Higiene,Procter & Gamble,973,3226.46,Trujillo,Supermercado
2023,6,TOTTUS,San Jorge Arroz,Alimentos,Alicorp,545,3708.23,Cusco,Mayorista
2024,8,VIVANDA,Donofrio Helado,Bebidas,Nestlé,468,3030.73,Huancayo,Tienda Independiente
2020,7,TOTTUS,Inca Kola,Alimentos,San Jorge,757,4467.11,Lima,Minorista
2020,9,WONG,Donofrio Helado,Higiene,Backus,82,3144.41,Arequipa,Supermercado
2022,10,WONG,Galletas Field,Bebidas,Alicorp,339,2862.61,Cusco,Mayorista
2019,8,VIVANDA,Dento,Bebidas,Gloria,172,2679.35,Chiclayo,Mayorista
2021,8,MAKRO,Donofrio Helado,Bebidas,Nestlé,526,3434.35,Cusco,Tienda Independiente
2024,4,WONG,Dento,Limpieza,Procter & Gamble,423,632.37,Iquitos,Supermercado
2022,4,MAKRO,Inca Kola,Higiene,Backus,498,590.43,Piura,Minorista
2019,1,VIVANDA,Inca Kola,Alimentos,Procter & Gamble,986,4553.34,Arequipa,Mayorista
2020,7,TOTTUS,Ariel Detergente,Limpieza,Gloria,828,2338.59,Huancayo,Minorista
2021,8,VIVANDA,Inca Kola,Limpieza,Nestlé,299,3580.4,Chiclayo,Mayorista
2023,2,METRO,Ariel Detergente,Higiene,Alicorp,374,1984.21,Arequipa,Mayorista
2025,4,METRO,Dento,Alimentos,Gloria,400,4361.58,Cusco,Mayorista
2020,2,TOTTUS,Inca Kola,Higiene,San Jorge,72,2698.81,Huancayo,Minorista
2019,11,VIVANDA,San Jorge Arroz,Higiene,San Jorge,347,514.03,Chiclayo,Tienda Independiente
2022,7,VIVANDA,Gloria Leche,Alimentos,San Jorge,10,830.96,Arequipa,Mayorista
2019,3,MAKRO,Ariel Detergente,Alimentos,Alicorp,996,594.29,Iquitos,Mayorista
2021,5,MAKRO,Gloria Leche,Alimentos,Procter & Gamble,915,4717.12,Chiclayo,Mayorista
2024,4,WONG,Gloria Leche,Bebidas,Backus,725,316.14,Arequipa,Minorista
2023,12,PLAZA VEA,Inca Kola,Bebidas,Gloria,136,1101.87,Lima,Supermercado
2023,8,TOTTUS,Ariel Detergente,Limpieza,Backus,127,637.76,Lima,Minorista
2019,7,METRO,Dento,Limpieza,Alicorp,320,613.64,Trujillo,Minorista
2021,11,PLAZA VEA,Ariel Detergente,Higiene,Alicorp,41,840.58,Cusco,Tienda Independiente
2022,4,TOTTUS,San Jorge Arroz,Alimentos,San Jorge,212,410.22,Piura,Mayorista
2021,5,TOTTUS,Dento,Alimentos,Alicorp,346,949.09,Trujillo,Supermercado
2019,12,PLAZA VEA,Inca Kola,Alimentos,Alicorp,781,2338.82,Arequipa,Supermercado
2022,2,MAYORISTA10,Donofrio Helado,Higiene,Gloria,178,2826.53,Cusco,Tienda Independiente
2021,10,WONG,San Jorge Arroz,Bebidas,Alicorp,710,4892.85,Cusco,Mayorista
2024,8,VIVANDA,Ariel Detergente,Higiene,Gloria,37,3696.64,Cusco,Minorista
2022,9,METRO,Casino Galleta,Bebidas,Backus,803,3526.35,Cusco,Minorista
2022,5,WONG,Inca Kola,Bebidas,San Jorge,740,4224.76,Trujillo,Minorista
2022,1,MAYORISTA10,Inca Kola,Higiene,Alicorp,117,3344.7,Lima,Tienda Independiente
2022,11,TOTTUS,Galletas Field,Alimentos,Nestlé,395,1402.23,Chiclayo,Minorista
2023,7,METRO,San Jorge Arroz,Higiene,Procter & Gamble,17,3710.54,Iquitos,Mayorista
2025,2,WONG,Gloria Leche,Alimentos,Alicorp,777,2384.35,Cusco,Mayorista
2025,1,TOTTUS,Donofrio Helado,Higiene,Nestlé,733,902.55,Cusco,Tienda Independiente
2025,10,MAKRO,Casino Galleta,Bebidas,Nestlé,665,1479.33,Lima,Supermercado
2025,9,WONG,Inca Kola,Alimentos,Alicorp,241,168.07,Piura,Supermercado
2023,10,PLAZA VEA,Donofrio Helado,Bebidas,Gloria,227,1711.81,Huancayo,Supermercado
2023,10,TOTTUS,Casino Galleta,Alimentos,San Jorge,224,2367.87,Lima,Minorista
2022,2,METRO,Inca Kola,Higiene,Gloria,945,754.05,Cusco,Mayorista
2023,9,MAYORISTA10,Dento,Higiene,Gloria,345,934.37,Trujillo,Tienda Independiente
2021,1,MAYORISTA10,Ariel Detergente,Bebidas,Procter & Gamble,841,4419.69,Lima,Mayorista
2020,8,VIVANDA,Donofrio Helado,Alimentos,Alicorp,745,3750.76,Trujillo,Supermercado
2020,8,WONG,Inca Kola,Bebidas,San Jorge,510,1502.79,Huancayo,Supermercado
2022,1,VIVANDA,San Jorge Arroz,Limpieza,San Jorge,451,2165.04,Huancayo,Mayorista
2021,2,PLAZA VEA,Ariel Detergente,Bebidas,Backus,269,2153.2,Arequipa,Minorista
2020,5,PLAZA VEA,Casino Galleta,Higiene,Gloria,663,3376.68,Piura,Tienda Independiente
2024,7,TOTTUS,Donofrio Helado,Higiene,Alicorp,880,1710.09,Arequipa,Supermercado
2020,4,VIVANDA,Dento,Bebidas,Nestlé,223,4417.67,Piura,Mayorista
2025,6,WONG,Inca Kola,Alimentos,San Jorge,337,1296.25,Piura,Supermercado
2025,5,TOTTUS,Casino Galleta,Limpieza,Gloria,22,3582.17,Lima,Mayorista
2020,4,MAKRO,Donofrio Helado,Bebidas,Gloria,887,747.51,Trujillo,Tienda Independiente
2024,2,MAKRO,San Jorge Arroz,Bebidas,Backus,460,53.41,Piura,Supermercado
2021,5,MAYORISTA10,Donofrio Helado,Alimentos,Procter & Gamble,633,689.76,Iquitos,Minorista
2021,2,PLAZA VEA,Gloria Leche,Bebidas,Gloria,877,2290.5,Piura,Minorista
2021,3,MAKRO,Donofrio Helado,Higiene,Gloria,424,1702.74,Chiclayo,Tienda Independiente
2023,3,VIVANDA,Donofrio Helado,Limpieza,San Jorge,808,1605.7,Piura,Tienda Independiente
2020,9,TOTTUS,Donofrio Helado,Alimentos,Procter & Gamble,662,669.51,Trujillo,Supermercado
2024,11,PLAZA VEA,Dento,Alimentos,Alicorp,565,1688.53,Chiclayo,Minorista
2019,2,PLAZA VEA,Casino Galleta,Limpieza,Nestlé,797,4530.43,Trujillo,Supermercado
2022,9,PLAZA VEA,Gloria Leche,Higiene,Backus,461,4178.89,Chiclayo,Minorista
2022,7,PLAZA VEA,Inca Kola,Bebidas,Gloria,582,797.99,Trujillo,Mayorista
2022,10,METRO,Galletas Field,Higiene,Backus,787,1217.85,Chiclayo,Tienda Independiente
2021,7,METRO,Ariel Detergente,Higiene,San Jorge,166,746.59,Piura,Tienda Independiente
2019,2,MAYORISTA10,Casino Galleta,Limpieza,Alicorp,287,674.96,Piura,Supermercado
2022,8,MAYORISTA10,Casino Galleta,Higiene,Procter & Gamble,173,1929.24,Cusco,Mayorista
